Land-Ocean: Southern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1906,.02,-.03,-.16,-.13,-.26,-.27,-.18,-.22,-.32,-.22,-.34,-.32,-.20,-.18,-.02,-.18,-.22,-.29
1907,-.26,-.29,-.24,-.28,-.33,-.32,-.29,-.28,-.27,-.25,-.35,-.34,-.29,-.29,-.29,-.28,-.30,-.29
1908,-.34,-.37,-.39,-.40,-.45,-.46,-.34,-.35,-.40,-.42,-.40,-.43,-.40,-.39,-.35,-.41,-.38,-.41
1909,-.50,-.45,-.40,-.51,-.58,-.51,-.45,-.31,-.40,-.45,-.52,-.54,-.47,-.46,-.46,-.50,-.42,-.46
1910,-.49,-.44,-.52,-.43,-.37,-.32,-.30,-.32,-.34,-.50,-.52,-.51,-.42,-.42,-.49,-.44,-.31,-.45
1911,-.52,-.54,-.56,-.60,-.57,-.65,-.45,-.43,-.42,-.32,-.20,-.09,-.45,-.48,-.52,-.57,-.51,-.31
1912,-.13,-.10,-.13,-.17,-.27,-.31,-.31,-.29,-.33,-.28,-.24,-.28,-.24,-.22,-.11,-.19,-.30,-.28
1913,-.23,-.24,-.37,-.27,-.31,-.39,-.19,-.19,-.25,-.23,-.22,-.13,-.25,-.26,-.25,-.32,-.26,-.24
1914,-.06,-.08,-.11,-.18,-.21,-.27,-.12,-.04,-.02,-.04,-.06,.00,-.10,-.11,-.09,-.17,-.14,-.04
1915,-.12,.03,.06,.07,-.09,-.28,-.12,-.26,-.18,-.20,-.21,-.17,-.12,-.11,-.03,.01,-.22,-.20
1916,-.15,-.12,-.16,-.25,-.32,-.47,-.40,-.19,-.23,-.31,-.46,-.50,-.30,-.27,-.14,-.24,-.35,-.33
1917,-.62,-.58,-.52,-.45,-.37,-.38,-.18,-.05,-.15,-.26,-.34,-.28,-.35,-.37,-.57,-.45,-.20,-.25
1918,-.26,-.23,-.24,-.29,-.36,-.27,-.28,-.25,-.08,-.05,.03,.01,-.19,-.21,-.26,-.30,-.27,-.03
1919,.00,-.04,-.02,-.01,-.13,-.31,-.24,-.36,-.30,-.30,-.33,-.27,-.19,-.17,-.01,-.05,-.30,-.31
1920,-.32,-.22,-.23,-.26,-.31,-.43,-.33,-.19,-.07,-.12,-.07,-.19,-.23,-.24,-.27,-.27,-.32,-.09
1921,-.27,-.26,-.35,-.42,-.34,-.38,-.25,-.21,-.19,-.04,-.16,-.20,-.26,-.26,-.24,-.37,-.28,-.13
